"","DB.classKey","mouse","human","ensembl"
"1950",48885468,"Copz1","COPZ1","ENSG00000111481"
"1951",48885469,"Hnf1b","HNF1B","ENSG00000275410"
"1952",48885470,"Smarca5","SMARCA5","ENSG00000153147"
"1953",48885471,"Vars1","VARS1","ENSG00000204394"
"1954",48885472,"Snrpd1","SNRPD1","ENSG00000167088"
"1955",48885473,"Ppp1r10","PPP1R10","ENSG00000204569"
"1956",48885474,"Pole2","POLE2","ENSG00000100479"
"1957",48885475,"Timm23","TIMM23","ENSG00000265354"
"1958",48885475,"Timm23","TIMM23B","ENSG00000204152"
"1959",48885476,"Taf7","TAF7","ENSG00000178913"
"1960",48885477,"Atp6v1h","ATP6V1H","ENSG00000047249"
"1961",48885478,"Uxs1","UXS1","ENSG00000115652"
"1962",48885479,"Nodal","NODAL","ENSG00000156574"
"1963",48885480,"Zcchc7","ZCCHC7","ENSG00000147905"
"1964",48885481,"Csnk1a1","CSNK1A1","ENSG00000113712"
"1965",48885483,"Rps18","RPS18","ENSG00000231500"
"1966",48885485,"Sf3b4","SF3B4","ENSG00000143368"
"1967",48885486,"Terf2","TERF2","ENSG00000132604"
"1968",48885487,"Ttc27","TTC27","ENSG00000018699"
"1969",48885488,"Rpl24","RPL24","ENSG00000114391"
"1970",48885489,"Snrpc","SNRPC","ENSG00000124562"
"1971",48885490,"Phf5a","PHF5A","ENSG00000100410"
"1972",48885491,"Mcm7","MCM7","ENSG00000166508"
"1973",48885492,"Ddx54","DDX54","ENSG00000123064"
"1974",48885493,"Ddx19b","DDX19B","ENSG00000157349"
"1975",48885494,"Ddx19a","DDX19A","ENSG00000168872"
"1976",48885495,"Ints7","INTS7","ENSG00000143493"
"1977",48885496,"Ncbp2","NCBP2L","ENSG00000170935"
"1978",48885496,"Ncbp2","NCBP2","ENSG00000114503"
"1979",48885497,"Hdac1","HDAC1","ENSG00000116478"
"1980",48885498,"Gpc4","GPC4","ENSG00000076716"
"1981",48885499,"Odc1","ODC1","ENSG00000115758"
"1982",48885500,"Mak16","MAK16","ENSG00000198042"
"1983",48885501,"Tsr2","TSR2","ENSG00000158526"
"1984",48885502,"Wnt5b","WNT5B","ENSG00000111186"
"1985",48885503,"Vps18","VPS18","ENSG00000104142"
"1986",48885504,"Slc25a5","SLC25A5","ENSG00000005022"
"1987",48885505,"Rps5","RPS5","ENSG00000083845"
"1988",48885506,"Atm","ATM","ENSG00000149311"
"1989",48885507,"Slit1","SLIT1","ENSG00000187122"
"1990",48885508,"Alk","ALK","ENSG00000171094"
"1991",48885509,"Chsy1","CHSY1","ENSG00000131873"
"1992",48885510,"Pierce1","PIERCE1","ENSG00000160345"
"1993",48885511,"Cic","CIC","ENSG00000079432"
"1994",48885512,"Slc25a1","SLC25A1","ENSG00000100075"
"1995",48885513,"Clcnka","CLCNKB","ENSG00000184908"
"1996",48885513,"Clcnka","CLCNKA","ENSG00000186510"
"1997",48885514,"Clcnkb","CLCNKA","ENSG00000186510.1"
"1998",48885514,"Clcnkb","CLCNKB","ENSG00000184908.1"
"1999",48885515,"Igf2r","IGF2R","ENSG00000197081"
"2000",48885516,"Sh3kbp1","SH3KBP1","ENSG00000147010"
"2001",48885517,"Cdkn1a","CDKN1A","ENSG00000124762"
"2002",48885518,"Rbm3","RBM3","ENSG00000102317"
"2003",48885519,"Cirbp","CIRBP","ENSG00000099622"
"2004",48885520,"Utp4","UTP4","ENSG00000141076"
"2005",48885521,"Golga2","GOLGA2","ENSG00000167110"
"2006",48885522,"Cish","CISH","ENSG00000114737"
"2007",48885523,"Cit","CIT","ENSG00000122966"
"2008",48885524,"Ciz1","CIZ1","ENSG00000148337"
"2009",48885525,"Jun","JUN","ENSG00000177606"
"2010",48885526,"Csnk2a1","CSNK2A1","ENSG00000101266"
"2011",48885526,"Csnk2a1","CSNK2A3","ENSG00000254598"
"2012",48885527,"Csnk2a2","CSNK2A2","ENSG00000070770"
"2013",48885528,"Csnk2b","CSNK2B","ENSG00000204435"
"2014",48885529,"Tbcb","TBCB","ENSG00000105254"
"2015",48885530,"Krt5","KRT5","ENSG00000186081"
"2016",48885531,"Plekho1","PLEKHO1","ENSG00000023902"
"2017",48885532,"Kit","KIT","ENSG00000157404"
"2018",48885533,"Ckmt2","CKMT2","ENSG00000131730"
"2019",48885534,"Cldn10","CLDN10","ENSG00000134873"
"2020",48885535,"Clcn2","CLCN2","ENSG00000114859"
"2021",48885536,"Clcn5","CLCN5","ENSG00000171365"
"2022",48885537,"Cldn11","CLDN11","ENSG00000013297"
"2023",48885538,"Tmem47","TMEM47","ENSG00000147027"
"2024",48885539,"Cldn15","CLDN15","ENSG00000106404"
"2025",48885540,"Cldn8","CLDN8","ENSG00000156284"
"2026",48885541,"Cldn1","CLDN1","ENSG00000163347"
"2027",48885542,"Cldn23","CLDN23","ENSG00000253958"
"2028",48885543,"Cldn22","CLDN22","ENSG00000177300"
"2029",48885544,"Cldn13","CLDN4","ENSG00000189143.1"
"2030",48885545,"Cldn34b3","CLDN34","ENSG00000234469"
"2031",48885546,"Cldn34c4","CLDN34","ENSG00000234469.1"
"2032",48885547,"Cldn34d","CLDN34","ENSG00000234469.2"
"2033",48885548,"Cldn34c1","CLDN34","ENSG00000234469.3"
"2034",48885549,"Cldn34b2","CLDN34","ENSG00000234469.4"
"2035",48885550,"Cldn34c6","CLDN34","ENSG00000234469.5"
"2036",48885551,"Cldn34b1","CLDN34","ENSG00000234469.6"
"2037",48885552,"Cldn34b4","CLDN34","ENSG00000234469.7"
"2038",48885553,"Cldn34a","CLDN34","ENSG00000234469.8"
"2039",48885554,"Cldn34c2","CLDN34","ENSG00000234469.9"
"2040",48885555,"Cldn34c5","CLDN34","ENSG00000234469.10"
"2041",48885556,"Cldn5","CLDN5","ENSG00000184113"
"2042",48885557,"Cldn17","CLDN17","ENSG00000156282"
"2043",48885558,"Cstf3","CSTF3","ENSG00000176102"
"2044",48885559,"Clec4a3","CLEC4A","ENSG00000111729"
"2045",48885560,"Crlf1","CRLF1","ENSG00000006016"
"2046",48885561,"Crlf3","CRLF3","ENSG00000176390"
"2047",48885562,"Clic5","CLIC5","ENSG00000112782"
"2048",48885563,"Clic3","CLIC3","ENSG00000169583"
"2049",48885564,"Pnpla7","PNPLA7","ENSG00000130653"
"2050",48885565,"Pdlim1","PDLIM1","ENSG00000107438"
"2051",48885566,"Clint1","CLINT1","ENSG00000113282"
"2052",48885567,"Clip1","CLIP1","ENSG00000130779"
"2053",48885568,"Clock","CLOCK","ENSG00000134852"
"2054",48885569,"Clk4","CLK4","ENSG00000113240"
"2055",48885570,"Clmn","CLMN","ENSG00000165959"
"2056",48885571,"Tpp1","TPP1","ENSG00000166340"
"2057",48885572,"Cln6","CLN6","ENSG00000128973"
"2058",48885573,"Coil","COIL","ENSG00000121058"
"2059",48885574,"Npas2","NPAS2","ENSG00000170485"
"2060",48885575,"Txndc17","TXNDC17","ENSG00000129235"
"2061",48885576,"Clpx","CLPX","ENSG00000166855"
"2062",48885577,"Sox10","SOX10","ENSG00000100146"
"2063",48885578,"Clstn2","CLSTN2","ENSG00000158258"
"2064",48885579,"Cacna1c","CACNA1C","ENSG00000151067"
"2065",48885585,"Cma1","CMA1","ENSG00000092009"
"2066",48885587,"Maf","MAF","ENSG00000178573"
"2067",48885588,"Cmas","CMAS","ENSG00000111726"
"2068",48885589,"Met","MET","ENSG00000105976"
"2069",48885590,"Myl7","MYL7","ENSG00000106631"
"2070",48885591,"Mos","MOS","ENSG00000172680"
"2071",48885592,"Mpl","MPL","ENSG00000117400"
"2072",48885593,"Sbf2","SBF2","ENSG00000133812"
"2073",48885594,"Xirp1","XIRP1","ENSG00000168334"
"2074",48885595,"Cmya5","CMYA5","ENSG00000164309"
"2075",48885596,"Myb","MYB","ENSG00000118513"
"2076",48885597,"Myc","MYC","ENSG00000136997"
"2077",48885598,"Bmyc","MYC","ENSG00000136997.1"
"2078",48885599,"Zcchc13","ZCCHC13","ENSG00000187969"
"2079",48885600,"Cnga1","CNGA1","ENSG00000198515"
"2080",48885601,"Cnga2","CNGA2","ENSG00000183862"
"2081",48885602,"Cnga3","CNGA3","ENSG00000144191"
"2082",48885603,"Cngb3","CNGB3","ENSG00000170289"
"2083",48885604,"Eml1","EML1","ENSG00000066629"
"2084",48885605,"Cnih1","CNIH1","ENSG00000100528"
"2085",48885606,"Plk3","PLK3","ENSG00000173846"
"2086",48885607,"Cnksr2","CNKSR2","ENSG00000149970"
"2087",48885608,"Cnn3","CNN3","ENSG00000117519"
"2088",48885609,"Cnnm2","CNNM2","ENSG00000148842"
"2089",48885610,"Bloc1s4","BLOC1S4","ENSG00000186222"
"2090",48885611,"Cnot3","CNOT3","ENSG00000088038"
"2091",48885612,"Cnot6","CNOT6","ENSG00000113300"
"2092",48885613,"Nppc","NPPC","ENSG00000163273"
"2093",48885614,"Cnp","CNP","ENSG00000173786"
"2094",48885615,"Cnrip1","CNRIP1","ENSG00000119865"
"2095",48885616,"Cnst","CNST","ENSG00000162852"
"2096",48885617,"Cntn1","CNTN1","ENSG00000018236"
"2097",48885618,"Cntn3","CNTN3","ENSG00000113805"
"2098",48885619,"Cntn4","CNTN4","ENSG00000144619"
"2099",48885620,"Cntnap2","CNTNAP2","ENSG00000174469"
"2100",48885621,"Cntnap3","CNTNAP3","ENSG00000106714"
"2101",48885621,"Cntnap3","CNTNAP3B","ENSG00000154529"
"2102",48885621,"Cntnap3","CNTNAP3C","ENSG00000283378"
"2103",48885622,"Cntnap4","CNTNAP4","ENSG00000152910"
"2104",48885623,"Cntnap5b","CNTNAP5","ENSG00000155052"
"2105",48885624,"Cntnap5a","CNTNAP5","ENSG00000155052.1"
"2106",48885625,"Cntnap5c","CNTNAP5","ENSG00000155052.2"
"2107",48885626,"Cobll1","COBLL1","ENSG00000082438"
"2108",48885627,"Nelfb","NELFB","ENSG00000188986"
"2109",48885628,"Ebf2","EBF2","ENSG00000221818"
"2110",48885629,"mt-Co1","COX1","ENSG00000198804"
"2111",48885630,"mt-Co2","MTCO2P12","ENSG00000229344"
"2112",48885630,"mt-Co2","COX2","ENSG00000198712"
"2113",48885631,"mt-Co3","COX3","ENSG00000198938"
"2114",48885632,"Col10a1","COL10A1","ENSG00000123500"
"2115",48885633,"Col11a1","COL11A1","ENSG00000060718"
"2116",48885634,"Col5a3","COL5A3","ENSG00000080573"
"2117",48885635,"Col11a2","COL11A2","ENSG00000204248"
"2118",48885636,"Col12a1","COL12A1","ENSG00000111799"
"2119",48885637,"Col17a1","COL17A1","ENSG00000065618"
"2120",48885638,"Col28a1","COL28A1","ENSG00000215018"
"2121",48885639,"Col2a1","COL2A1","ENSG00000139219"
"2122",48885640,"Cert1","CERT1","ENSG00000113163"
"2123",48885641,"Col5a2","COL5A2","ENSG00000204262"
"2124",48885642,"Col6a4","COL6A4P1","ENSG00000291281"
"2125",48885642,"Col6a4","COL6A4P2","NA.23"
"2126",48885643,"Col6a6","COL6A6","ENSG00000206384"
"2127",48885644,"Col7a1","COL7A1","ENSG00000114270"
"2128",48885645,"Col8a1","COL8A1","ENSG00000144810"
"2129",48885646,"Col22a1","COL22A1","ENSG00000169436"
"2130",48885647,"Colgalt1","COLGALT1","ENSG00000130309"
"2131",48885648,"Colgalt2","COLGALT2","ENSG00000198756"
"2132",48885649,"Sftpd","SFTPD","ENSG00000133661"
"2133",48885650,"Mbl2","MBL2","ENSG00000165471"
"2134",48885651,"Mbl1","MBL1P","ENSG00000293431"
"2135",48885652,"Gldn","GLDN","ENSG00000186417"
"2136",48885653,"C1ql4","C1QL4","ENSG00000186897"
"2137",48885654,"Ogt","OGT","ENSG00000147162"
"2138",48885655,"Rcor1","RCOR1","ENSG00000089902"
"2139",48885656,"Coro2a","CORO2A","ENSG00000106789"
"2140",48885657,"Coro2b","CORO2B","ENSG00000103647"
"2141",48885658,"Cort","CORT","ENSG00000241563"
"2142",48885659,"Kif7","KIF7","ENSG00000166813"
"2143",48885660,"Nr2f6","NR2F6","ENSG00000160113"
"2144",48885661,"Nr2f1","NR2F1","ENSG00000175745"
"2145",48885662,"Nr2f2","NR2F2","ENSG00000185551"
"2146",48885663,"Ptgs1","PTGS1","ENSG00000095303"
"2147",48885664,"Ptgs2","PTGS2","ENSG00000073756"
"2148",48885665,"Cox4i1","COX4I1","ENSG00000131143"
"2149",48885666,"Cox4i2","COX4I2","ENSG00000131055"
"2150",48885667,"Emc8","EMC8","ENSG00000131148"
"2151",48885668,"Cox5b","COX5B","ENSG00000135940"
"2152",48885669,"Cox7a2","COX7A2P2","NA.24"
"2153",48885669,"Cox7a2","COX7A2","ENSG00000112695"
"2154",48885670,"Cox7a2l","COX7A2L","ENSG00000115944"
"2155",48885671,"Cox8a","COX8A","ENSG00000176340"
"2156",48885672,"Cpd","CPD","ENSG00000108582"
"2157",48885673,"Cadps2","CADPS2","ENSG00000081803"
"2158",48885674,"Cpeb4","CPEB4","ENSG00000113742"
"2159",48885675,"Nrn1","NRN1","ENSG00000124785"
"2160",48885676,"Ptges3","PTGES3","ENSG00000110958"
"2161",48885677,"Ppp1r14a","PPP1R14A","ENSG00000167641"
"2162",48885678,"Pla2g4a","PLA2G4A","ENSG00000116711"
"2163",48885679,"Cplx1","CPLX1","ENSG00000168993"
"2164",48885680,"Cplx2","CPLX2","ENSG00000145920"
"2165",48885681,"Cplx3","CPLX3","ENSG00000213578"
"2166",48885682,"Hspe1","HSPE1","ENSG00000115541"
"2167",48885683,"Hspe1-rs1","HSPE1","ENSG00000115541.1"
"2168",48885684,"Cpne1","CPNE1","ENSG00000214078"
"2169",48885685,"Cpne4","CPNE4","ENSG00000196353"
"2170",48885686,"Cpne5","CPNE5","ENSG00000124772"
"2171",48885687,"Ints11","INTS11","ENSG00000127054"
"2172",48885688,"Nudt21","NUDT21","ENSG00000167005"
"2173",48885689,"Cps1","CPS1","ENSG00000021826"
"2174",48885690,"Cpt1a","CPT1A","ENSG00000110090"
"2175",48885691,"Cpt1b","CPT1B","ENSG00000205560"
"2176",48885692,"Cpt1c","CPT1C","ENSG00000169169"
"2177",48885693,"Cbr1","CBR1","ENSG00000159228"
"2178",48885694,"Cbr3","CBR3","ENSG00000159231"
"2179",48885695,"Fam131b","FAM131B","ENSG00000159784"
"2180",48885696,"Clcn1","CLCN1","ENSG00000188037"
"2181",48885697,"Cracdl","CRACDL","ENSG00000196872"
"2182",48885698,"Raf1","RAF1","ENSG00000132155"
"2183",48885699,"Rlbp1","RLBP1","ENSG00000140522"
"2184",48885700,"Cramp1","CRAMP1","ENSG00000007545"
"2185",48885701,"Crb2","CRB2","ENSG00000148204"
"2186",48885702,"Rbp2","RBP2","ENSG00000114113"
"2187",48885703,"Creb1","CREB1","ENSG00000118260"
"2188",48885704,"Creb3","CREB3","ENSG00000107175"
"2189",48885705,"Creb3l3","CREB3L3","ENSG00000060566"
"2190",48885706,"Creb5","CREB5","ENSG00000146592"
"2191",48885707,"Rel","REL","ENSG00000162924"
"2192",48885708,"Ret","RET","ENSG00000165731"
"2193",48885709,"Crh","CRH","ENSG00000147571"
"2194",48885710,"Ifngr1","IFNGR1","ENSG00000027697"
"2195",48885711,"Il10ra","IL10RA","ENSG00000110324"
"2196",48885712,"Ifnlr1","IFNLR1","ENSG00000185436"
"2197",48885713,"Il10rb","IL10RB","ENSG00000243646"
"2198",48885714,"Ifngr2","IFNGR2","ENSG00000159128"
"2199",48885715,"Il20ra","IL20RA","ENSG00000016402"
"2200",48885716,"Il22ra2","IL22RA2","ENSG00000164485"
"2201",48885717,"Crhbp","CRHBP","ENSG00000145708"
"2202",48885718,"Crhr1","LINC02210-CRHR1","ENSG00000263715"
"2203",48885718,"Crhr1","CRHR1","ENSG00000120088"
"2204",48885719,"Crhr2","CRHR2","ENSG00000106113"
"2205",48885720,"Crispld1","CRISPLD1","ENSG00000121005"
"2206",48885721,"Crmp1","CRMP1","ENSG00000072832"
"2207",48885722,"Dpysl2","DPYSL2","ENSG00000092964"
"2208",48885723,"Dpysl4","DPYSL4","ENSG00000151640"
"2209",48885724,"Dpysl3","DPYSL3","ENSG00000113657"
"2210",48885725,"Dpysl5","DPYSL5","ENSG00000157851"
"2211",48885726,"Ros1","ROS1","ENSG00000047936"
"2212",48885727,"Bmper","BMPER","ENSG00000164619"
"2213",48885728,"Crp","CRP","ENSG00000132693"
"2214",48885729,"Apcs","APCS","ENSG00000132703"
"2215",48885730,"Mptx1","MPTX1","ENSG00000215846"
"2216",48885732,"Med24","MED24","ENSG00000008838"
"2217",48885733,"Med14","MED14","ENSG00000180182"
"2218",48885734,"Med23","MED23","ENSG00000112282"
"2219",48885735,"Med27","MED27","ENSG00000160563"
"2220",48885736,"Med17","MED17","ENSG00000042429"
"2221",48885737,"Med7","MED7","ENSG00000155868"
"2222",48885738,"Hapln1","HAPLN1","ENSG00000145681"
"2223",48885739,"Sec23a","SEC23A","ENSG00000100934"
"2224",48885740,"Cry1","CRY1","ENSG00000008405"
"2225",48885741,"Cry2","CRY2","ENSG00000121671"
"2226",48885742,"Cryab","CRYAB","ENSG00000109846"
"2227",48885743,"Cryba1","CRYBA1","ENSG00000108255"
"2228",48885744,"Cryga","CRYGA","ENSG00000168582"
"2229",48885745,"Crygc","CRYGC","ENSG00000163254"
"2230",48885746,"Cryge","CRYGD","ENSG00000118231"
"2231",48885747,"Crygf","CRYGD","ENSG00000118231.1"
"2232",48885748,"Crygd","CRYGD","ENSG00000118231.2"
"2233",48885749,"Crygb","CRYGB","ENSG00000182187"
"2234",48885750,"Crygs","CRYGS","ENSG00000213139"
"2235",48885751,"Ercc8","ERCC8","ENSG00000049167"
"2236",48885752,"Ccsap","CCSAP","ENSG00000154429"
"2237",48885753,"Ercc6","ERCC6","ENSG00000225830"
"2238",48885754,"Csdc2","CSDC2","ENSG00000172346"
"2239",48885755,"Kcnip3","KCNIP3","ENSG00000115041"
"2240",48885756,"Csf1","CSF1","ENSG00000184371"
"2241",48885757,"Csf3","CSF3","ENSG00000108342"
"2242",48885758,"Csgalnact1","CSGALNACT1","ENSG00000147408"
"2243",48885759,"Csmd1","CSMD1","ENSG00000183117"
"2244",48885760,"Csnk1d","CSNK1D","ENSG00000141551"
"2245",48885761,"Csnk1g2","CSNK1G2","ENSG00000133275"
"2246",48885762,"Ncan","NCAN","ENSG00000130287"
"2247",48885763,"Cspg4b","CSPG4BP","ENSG00000232517"
"2248",48885764,"Cspg5","CSPG5","ENSG00000114646"
"2249",48885765,"Smc3","SMC3","ENSG00000108055"
"2250",48885766,"Casq1","CASQ1","ENSG00000143318"
"2251",48885767,"Kat14","KAT14","ENSG00000149474"
"2252",48885768,"Csrp3","CSRP3","ENSG00000129170"
"2253",48885769,"Csta1","CSTA","ENSG00000121552"
"2254",48885770,"Csta2","CSTA","ENSG00000121552.1"
"2255",48885771,"Cstb","CSTB","ENSG00000160213"
"2256",48885772,"Stfa1","CSTA","ENSG00000121552.2"
"2257",48885773,"Csta3","CSTA","ENSG00000121552.3"
"2258",48885774,"Cstdc4","CSTA","ENSG00000121552.4"
"2259",48885775,"Cstdc6","CSTA","ENSG00000121552.5"
"2260",48885776,"Cstdc5","CSTA","ENSG00000121552.6"
"2261",48885777,"Cstf2t","CSTF2T","ENSG00000177613"
"2262",48885778,"Cstf2","CSTF2","ENSG00000101811"
"2263",48885779,"Mia2","CTAGE6","ENSG00000271321"
"2264",48885779,"Mia2","MIA2","ENSG00000150527"
"2265",48885779,"Mia2","CTAGE1","ENSG00000212710"
"2266",48885779,"Mia2","CTAGE8","ENSG00000289604"
"2267",48885780,"Ctbp1","CTBP1","ENSG00000159692"
"2268",48885781,"Ctbp2","CTBP2","ENSG00000175029"
"2269",48885782,"Ctdnep1","CTDNEP1","ENSG00000175826"
"2270",48885783,"Ctdspl2","CTDSPL2","ENSG00000137770"
"2271",48885784,"Acot6","ACOT6","ENSG00000205669"
"2272",48885785,"Acot1","ACOT1","ENSG00000184227"
"2273",48885785,"Acot1","ACOT2","ENSG00000119673"
"2274",48885786,"Acot2","ACOT2","ENSG00000119673.1"
"2275",48885787,"Acot4","ACOT4","ENSG00000177465"
"2276",48885788,"Acot3","ACOT1","ENSG00000184227.1"
"2277",48885789,"Acot5","ACOT1","ENSG00000184227.2"
"2278",48885790,"Ccn2","CCN2","ENSG00000118523"
"2279",48885791,"Ctla4","CTLA4","ENSG00000163599"
"2280",48885792,"Tnnc1","TNNC1","ENSG00000114854"
"2281",48885793,"Ctnnb1","CTNNB1","ENSG00000168036"
"2282",48885794,"Ctnnd2","CTNND2","ENSG00000169862"
"2283",48885795,"Atp6v0d1","ATP6V0D1","ENSG00000159720"
"2284",48885796,"Calcr","CALCR","ENSG00000004948"
"2285",48885797,"Slc31a1","SLC31A1","ENSG00000136868"
"2286",48885798,"Ctrl","CTRL","ENSG00000141086"
"2287",48885799,"Ctrb1","CTRB2","ENSG00000168928"
"2288",48885799,"Ctrb1","CTRB1","ENSG00000168925"
"2289",48885800,"Ctsb","CTSB","ENSG00000164733"
"2290",48885801,"Ctss","CTSS","ENSG00000163131"
"2291",48885802,"Cttnbp2nl","CTTNBP2NL","ENSG00000143079"
"2292",48885803,"Atp11b","ATP11B","ENSG00000058063"
"2293",48885804,"Cenpw","CENPW","ENSG00000203760"
"2294",48885805,"Cul1","CUL1","ENSG00000055130"
"2295",48885806,"Cul3","CUL3","ENSG00000036257"
"2296",48885807,"Cul5","CUL5","ENSG00000166266"
"2297",48885808,"Pkd2","PKD2","ENSG00000118762"
"2298",48885809,"Ift57","IFT57","ENSG00000114446"
"2299",48885810,"2210016L21Rik","C12orf43","ENSG00000157895"
"2300",48885811,"Cux1","CUX1","ENSG00000257923"
"2301",48885812,"Cux2","CUX2","ENSG00000111249"
"2302",48885813,"Sod1","SOD1","ENSG00000142168"
"2303",48885814,"Gja4","GJA4","ENSG00000187513"
"2304",48885815,"Gje1","GJE1","ENSG00000203733"
"2305",48885816,"Gjb1","GJB1","ENSG00000169562"
"2306",48885817,"Gjb4","GJB4","ENSG00000189433"
"2307",48885818,"Gjb5","GJB5","ENSG00000189280"
"2308",48885819,"Gjb2","GJB2","ENSG00000165474"
"2309",48885820,"Gjb6","GJB6","ENSG00000121742"
"2310",48885821,"Gjd2","GJD2","ENSG00000159248"
"2311",48885822,"Gjb3","GJB3","ENSG00000188910"
"2312",48885823,"Gja1","GJA1","ENSG00000152661"
"2313",48885824,"Gja6","GJA6P","NA.25"
"2314",48885824,"Gja6","GJA1","ENSG00000152661.1"
"2315",48885825,"Gja5","GJA5","ENSG00000265107"
"2316",48885826,"Gja3","GJA3","ENSG00000121743"
"2317",48885827,"Gja8","GJA8","ENSG00000121634"
"2318",48885828,"Gjc2","GJC2","ENSG00000198835"
"2319",48885829,"Gjc1","GJC1","ENSG00000182963"
"2320",48885830,"Gja10","GJA10","ENSG00000135355"
"2321",48885831,"Cxcl9","CXCL9","ENSG00000138755"
"2322",48885832,"Cxcl10","CXCL10","ENSG00000169245"
"2323",48885833,"Cxcl11","CXCL11","ENSG00000169248"
"2324",48885834,"Cxcl12","CXCL12","ENSG00000107562"
"2325",48885835,"Ppbp","PPBP","ENSG00000163736"
"2326",48885836,"Cxcl3","CXCL3","ENSG00000163734"
"2327",48885836,"Cxcl3","CXCL2","ENSG00000081041"
"2328",48885836,"Cxcl3","CXCL1","ENSG00000163739"
"2329",48885837,"Cxcl2","CXCL2","ENSG00000081041.1"
"2330",48885837,"Cxcl2","CXCL1","ENSG00000163739.1"
"2331",48885837,"Cxcl2","CXCL3","ENSG00000163734.1"
"2332",48885838,"Cxcl1","CXCL2","ENSG00000081041.2"
"2333",48885838,"Cxcl1","CXCL1","ENSG00000163739.2"
"2334",48885839,"Cxcl5","CXCL5","ENSG00000163735"
"2335",48885839,"Cxcl5","CXCL6","ENSG00000124875"
"2336",48885840,"Pf4","PF4V1","ENSG00000109272"
"2337",48885840,"Pf4","PF4","ENSG00000163737"
"2338",48885841,"Cxcr1","CXCR1","ENSG00000163464"
"2339",48885842,"Cxcr2","CXCR2","ENSG00000180871"
"2340",48885843,"Cxcr3","CXCR3","ENSG00000186810"
"2341",48885844,"Ackr3","ACKR3","ENSG00000144476"
"2342",48885845,"Radx","RADX","ENSG00000147231"
"2343",48885846,"Cxxc5","CXXC5","ENSG00000171604"
"2344",48885847,"Cyfip1","CYFIP1","ENSG00000273749"
"2345",48885848,"Cyb561a3","CYB561A3","ENSG00000162144"
"2346",48885849,"Cycs","CYCS","ENSG00000172115"
"2347",48885850,"Cyct","CYCTP","ENSG00000249909"
"2348",48885851,"Ppia","PPIA","ENSG00000196262"
"2349",48885852,"Cygb","CYGB","ENSG00000161544"
"2350",48885853,"Zftraf1","ZFTRAF1","ENSG00000187954"
"2351",48885854,"Cyld","CYLD","ENSG00000083799"
"2352",48885855,"Cyp11b2","CYP11B1","ENSG00000160882"
"2353",48885855,"Cyp11b2","CYP11B2","ENSG00000179142"
"2354",48885856,"Cyp11b1","CYP11B2","ENSG00000179142.1"
"2355",48885856,"Cyp11b1","CYP11B1","ENSG00000160882.1"
"2356",48885857,"Cyp17a1","CYP17A1","ENSG00000148795"
"2357",48885858,"Cyp1a1","CYP1A1","ENSG00000140465"
"2358",48885859,"Cyp1a2","CYP1A2","ENSG00000140505"
"2359",48885860,"Cyp21a1","CYP21A2","ENSG00000231852"
"2360",48885860,"Cyp21a1","CYP21A1P","ENSG00000290788"
"2361",48885861,"Cyp24a1","CYP24A1","ENSG00000019186"
"2362",48885862,"Cyp26c1","CYP26C1","ENSG00000187553"
"2363",48885863,"Cyp27a1","CYP27A1","ENSG00000135929"
"2364",48885864,"Cyp2j7","CYP2J2","ENSG00000134716"
"2365",48885865,"Cyp2j8","CYP2J2","ENSG00000134716.1"
"2366",48885866,"Cyp2j13","CYP2J2","ENSG00000134716.2"
"2367",48885867,"Cyp2j11","CYP2J2","ENSG00000134716.3"
"2368",48885868,"Cyp2j5","CYP2J2","ENSG00000134716.4"
"2369",48885869,"Cyp2j9","CYP2J2","ENSG00000134716.5"
"2370",48885870,"Cyp2j12","CYP2J2","ENSG00000134716.6"
"2371",48885871,"Cyp2j6","CYP2J2","ENSG00000134716.7"
"2372",48885872,"Cyp3a13","CYP3A5","ENSG00000106258"
"2373",48885872,"Cyp3a13","CYP3A7","ENSG00000160870"
"2374",48885872,"Cyp3a13","CYP3A7-CYP3A51P","ENSG00000282301"
"2375",48885872,"Cyp3a13","CYP3A4","ENSG00000160868"
"2376",48885873,"Cyp3a25","CYP3A7-CYP3A51P","ENSG00000282301.1"
"2377",48885873,"Cyp3a25","CYP3A43","ENSG00000021461"
"2378",48885873,"Cyp3a25","CYP3A7","ENSG00000160870.1"
"2379",48885874,"Cyp3a41a","CYP3A5","ENSG00000106258.1"
"2380",48885875,"Cyp3a16","CYP3A5","ENSG00000106258.2"
"2381",48885876,"Cyp3a11","CYP3A5","ENSG00000106258.3"
"2382",48885877,"Cyp3a41b","CYP3A5","ENSG00000106258.4"
"2383",48885878,"Cyp3a44","CYP3A5","ENSG00000106258.5"
"2384",48885879,"Cyp3a59","CYP3A7-CYP3A51P","ENSG00000282301.2"
"2385",48885879,"Cyp3a59","CYP3A43","ENSG00000021461.1"
"2386",48885879,"Cyp3a59","CYP3A7","ENSG00000160870.2"
"2387",48885880,"Cyp3a57","CYP3A43","ENSG00000021461.2"
"2388",48885881,"Cyp46a1","CYP46A1","ENSG00000036530"
"2389",48885883,"Cyp4f14","CYP4F11","ENSG00000171903"
"2390",48885883,"Cyp4f14","CYP4F2","ENSG00000186115"
"2391",48885883,"Cyp4f14","CYP4F8","ENSG00000186526"
"2392",48885883,"Cyp4f14","CYP4F12","ENSG00000186204"
"2393",48885885,"Cyp4f13","CYP4F3","ENSG00000186529"
